Most runs,,,,,,,,,,,,,
Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
SPD Smithÿ(AUS),11,20,3,1305,239,76.76,2573,50.71,6,3,0,140,2
CA Pujaraÿ(INDIA),11,18,1,1140,202,67.05,2484,45.89,4,5,1,115,2
D Elgarÿ(SA),12,21,0,1128,199,53.71,2218,50.85,5,4,1,143,3
V Kohliÿ(INDIA),10,16,2,1059,243,75.64,1389,76.24,5,1,2,97,6
FDM Karunaratneÿ(SL),13,26,0,1031,196,39.65,2304,44.74,3,4,2,91,2
LD Chandimalÿ(SL),12,24,2,1003,164,45.59,2235,44.87,3,5,1,102,4
DA Warnerÿ(AUS),11,21,1,997,123,49.85,1566,63.66,4,4,0,115,7
JE Rootÿ(ENG),11,19,0,966,190,50.84,1563,61.8,2,8,0,138,1
HM Amlaÿ(SA),12,21,1,947,137,47.35,1744,54.3,3,4,1,130,4
AN Cookÿ(ENG),11,20,1,899,244*,47.31,1831,49.09,2,2,0,110,0
SD Hopeÿ(WI),10,19,2,773,147,45.47,1802,42.89,2,3,1,96,3
N Dickwellaÿ(SL),11,22,2,773,83,38.65,1031,74.97,0,6,1,87,6
Mushfiqur Rahimÿ(BDESH),8,16,2,766,159,54.71,1602,47.81,2,3,0,80,7
RL Chaseÿ(WI),10,19,2,740,131,43.52,1501,49.3,2,4,1,86,4
F du Plessisÿ(SA),10,17,4,706,135*,54.3,1265,55.81,1,6,1,90,2
KC Brathwaiteÿ(WI),10,19,0,706,134,37.15,1734,40.71,1,4,2,69,6
BKG Mendisÿ(SL),10,20,0,669,194,33.45,1161,57.62,2,1,1,77,7
Shakib Al Hasanÿ(BDESH),7,14,0,665,217,47.5,956,69.56,2,3,1,87,1
JM Bairstowÿ(ENG),11,19,0,652,119,34.31,1093,59.65,1,3,0,88,3
KL Rahulÿ(INDIA),9,14,1,633,90,48.69,1075,58.88,0,9,1,76,2
Q de Kockÿ(SA),12,19,2,619,101,36.41,845,73.25,1,4,0,78,7
T Bavumaÿ(SA),12,20,1,609,89,32.05,1292,47.13,0,5,2,73,1
KS Williamsonÿ(NZ),7,10,1,566,176,62.88,859,65.89,3,2,0,70,3
PSP Handscombÿ(AUS),9,17,3,556,110,39.71,1117,49.77,1,2,0,59,0
AM Rahaneÿ(INDIA),11,18,2,554,132,34.62,1084,51.1,1,3,1,59,4
S Dhawanÿ(INDIA),5,8,0,550,190,68.75,595,92.43,2,2,0,77,4
KOA Powellÿ(WI),10,19,0,548,90,28.84,1184,46.28,0,2,2,70,3
Tamim Iqbalÿ(BDESH),8,16,0,537,82,33.56,1019,52.69,0,5,1,59,5
BA Stokesÿ(ENG),7,12,0,527,112,43.91,829,63.57,2,4,1,75,6
AD Mathewsÿ(SL),9,18,0,524,111,29.11,1125,46.57,1,2,1,59,9
M Vijayÿ(INDIA),6,10,0,520,155,52,970,53.6,3,1,0,52,3
MDK Pereraÿ(SL),11,21,3,514,92*,28.55,1002,51.29,0,4,4,60,12
DJ Malanÿ(ENG),9,15,0,505,140,33.66,1179,42.83,1,4,0,71,1
Azhar Aliÿ(PAK),6,12,0,504,127,42,1294,38.94,2,3,1,41,2
MM Aliÿ(ENG),11,19,1,497,87,27.61,811,61.28,0,3,2,62,5
MT Renshawÿ(AUS),7,13,0,492,184,37.84,1060,46.41,1,2,0,59,3
JA Ravalÿ(NZ),7,11,0,475,88,43.18,1072,44.3,0,4,0,63,0
TWM Lathamÿ(NZ),7,11,1,457,177,45.7,875,52.22,1,2,0,62,2
Soumya Sarkarÿ(BDESH),7,14,0,451,86,32.21,788,57.23,0,4,0,60,3
SE Marshÿ(AUS),8,14,1,440,126*,33.84,1194,36.85,1,4,1,53,1
WU Tharangaÿ(SL),8,16,1,430,115,28.66,716,60.05,1,2,1,61,3
WP Sahaÿ(INDIA),11,14,4,423,117,42.3,895,47.26,2,1,1,34,5
JO Holderÿ(WI),9,16,2,417,110,29.78,801,52.05,1,2,2,51,6
LRPL Taylorÿ(NZ),5,7,2,408,107*,81.6,646,63.15,1,3,0,42,3
Sabbir Rahmanÿ(BDESH),8,16,1,382,66,25.46,713,53.57,0,3,3,48,4
AK Markramÿ(SA),3,4,0,380,143,95,568,66.9,2,1,0,51,2
HM Nichollsÿ(NZ),7,10,1,377,118,41.88,693,54.4,1,3,1,45,0
Sikandar Razaÿ(ZIM),4,8,0,373,127,46.62,700,53.28,1,2,1,26,5
Sarfaraz Ahmedÿ(PAK),6,11,1,350,72*,35,515,67.96,0,4,0,30,3
